1	Audit Assistant
2	Audit Examiner
3	Examiner of Accounts
4	Auditor
5	Senior Auditor
6	Principal Auditor
7	Assistant Director
9	Senior Examiner of Accounts
10	Labourer Grade II
11	Driver GD III
12	Driver Grade I
13	Yard Foreman
14	Transport Officer
15	Director
16	Assistant Auditor General
18	Assistant Auditor
19	Assistant Chief Examiner of Accounts
20	Typist
21	Stenographer
22	Stenographer Secretary
23	Senior Stenographer
24	Private Secretary
25	Senior Private Secretary
26	Ungraded Typist
27	Typist Grade I
28	Watchman
29	Head Watchman
30	Messenger
31	Head Labourer
32	Senior Typist
34	Labourer GD I
35	Deputy Auditor General
36	Driver Grade II
37	Assistant Transport Officer
38	Senior Transport Officer
39	Typist Grade II
40	Senior Telephonist
41	Senior Security Officer
42	Principal Security Officer
43	Assistant Chief Security Officer
44	Chief Security Officer
45	Assistant Security Guard
46	Principal Tranport Officer
47	Principal Typist
48	Principal Examiner of Accounts
50	Artisan Grade III
51	Labourer/Cleaner
52	Labourer
53	Security Officer
55	Chief Security Offic
56	Cleaner
57	Audit Assistant II
58	Artisan Grade II
59	Artisan Grade I
60	Driver Mechanic
61	Cleaner Grade I
63	Telephonist
64	Sweeper
65	Auditor-General
66	Receptionist
67	Senior Receptionist
68	Principal Receptionist
72	Head Cleaner
75	Principal Telephonist
77	Carpenter
78	Caretaker
79	Cleaner GD II
80	Senior StoreKeeper
81	Principal Store Keeper
83	New rank
